Dataset	Domain	Score	Sent1	Sent2
STS2015-gold	answers-students	4.60	a closed circuit containing a bulb and a battery	there is a closed path containing both the bulb and a battery
STS2015-gold	answers-students		Bulb A, bulb B and bulb C are contained in differnt paths.	A and C are in different paths
STS2015-gold	answers-students		It had its own path	Bulb A is still contained in a closed path with the battery.
STS2015-gold	answers-students	0.80	Because the bulb is connected correctly.	the battery is in an open path
STS2015-gold	answers-students	2.80	the battery is contained in a closed path	There is still a closed path
STS2015-gold	answers-students		there is a gap in the path	terminal 6 is separated by a gap from the negative battery terminal
STS2015-gold	answers-students		Because there is a difference between the electrical states of the two terminals.	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		there is a gap in the circuit that causes a gap between terminals 1,2,and 3 and 4,5,and 6	Terminals 4, 5 and 6 are separated from the negative battery terminal by a gap
STS2015-gold	answers-students	4.40	Bulb B and C are still contained in a path with the battery	bulbs B and C are still in closed paths with the battery
STS2015-gold	answers-students		switch z is contained in a closed path to the battery	there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery
STS2015-gold	answers-students		Bulbs A and B will still be contained in a closed path with the battery.	If C burns out, then A and B are still in a closed path with the battery.
STS2015-gold	answers-students		there are two components in the path	the battery is in an open path
STS2015-gold	answers-students		A and B are still in a closed pathway with the battery	If C burns out then A and B are still in a closed path with the battery
STS2015-gold	answers-students		Bulb a will not create a gap for bulb b and c	If bulb A burns out, bulbs B and C are still in a closed path
STS2015-gold	answers-students		An incomplete circuit does not affect voltage.	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students	5.00	the gap separates the positive battery terminal from terminal 2	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students		terminal 2 has a gap	Terminal 2 and the positive terminal are separated by the gap
STS2015-gold	answers-students		because of the gap that bulb B created	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		B nor C will have a contained closed paths to the battery	If bulb A burns out, B and C are no longer in a closed path with the battery
STS2015-gold	answers-students	1.60	Because the battery runs in a closed circuit.	there is an incomplete circuit
STS2015-gold	answers-students	1.40	Each circuit must have a connection.	there is a complete circuit
STS2015-gold	answers-students	2.20	terminal connected to positive charge	Terminals 4, 5 and 6 are connected to the positive battery terminal
STS2015-gold	answers-students	2.20	because it was not contained in the closed path.	there is no path containing both switch Y and bulb A
STS2015-gold	answers-students		Bulbs A and B are on a different closed path	If C is damaged, A and B are still in a closed path
STS2015-gold	answers-students		Because it is not in the same path	Bulb A is still in a closed path with the battery
STS2015-gold	answers-students	1.80	bulbs b and c have separate paths within the closed circuit	If bulb A burns out, B and C are no longer in a closed path with the battery
STS2015-gold	answers-students	3.80	If the path is not closed, the switch will not affect the bbulb	If a bulb and a switch are in the same path the switch affects the bulb
STS2015-gold	answers-students	1.60	there is a gap between teh positive battery terminal and terminal 4.	Terminal 4 and the positive battery terminal are in the same electrical state
STS2015-gold	answers-students		a battery is in a constant state of electricity	A battery uses a chemical reaction to maintain different electrical states at the terminals
STS2015-gold	answers-students		because voltage is the difference between two terminals and those terminals were not connected in a closed path	Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap
STS2015-gold	answers-students		Because it is in an incomplete path	the battery is in an open path
STS2015-gold	answers-students		There is a bulb connected to the battery terminal.	there is no closed path containing the battery
STS2015-gold	answers-students	1.00	Voltage is the difference between a positive and negative terminal on the battery.	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students	5.00	terminal 6 is connected to a positive battery terminal	Terminal 6 and the positive terminal are connected
STS2015-gold	answers-students	5.00	there is a gap between terminal 3 and the positive terminal	Terminal 3 and the positive terminal are separated by the gap
STS2015-gold	answers-students	4.00	bulb c was not connected to the battery.	Bulb C was no longer in a closed path with the battery
STS2015-gold	answers-students	3.60	because terminal 4 is connected to the positive terminal but not the negative terminal	Terminal 4 and the positive terminal are connected
STS2015-gold	answers-students		because it still was on a closed path	Bulb A is still contained in a closed path with the battery.
STS2015-gold	answers-students	4.80	the gap separates the positive battery terminal from terminal 1	Terminal 1 and the positive terminal are separated by the gap
STS2015-gold	answers-students		bulbs a and c are connected to the battery on the same path	Bulbs A and C are still contained in closed paths with the battery
STS2015-gold	answers-students	3.00	Circuit 2 is not a short circuit because the battery is not in a closed path with itself.	The battery in 2 is not in a closed path
STS2015-gold	answers-students	1.20	terminal 1 was connected to the positive terminal	Terminal 1 and the positive terminal are separated by the gap
